Timestamp,FPS,CPU_Usage,GPU_Usage,Triangle_Count,Has_Lighting,Has_Textures
0.0,60.0,15.2,25.3,1,false,false
1.0,59.8,16.1,26.1,1,false,false
2.0,59.5,17.3,27.2,1,false,false
3.0,58.2,18.5,28.9,50,false,false
4.0,57.8,19.2,29.1,50,false,false
5.0,57.1,20.1,30.5,50,false,false
6.0,55.3,22.4,32.8,100,false,false
7.0,54.9,23.1,33.2,100,false,false
8.0,54.2,24.3,34.1,100,false,false
9.0,52.1,26.7,36.9,150,false,false
10.0,51.8,27.2,37.5,150,false,false
11.0,51.2,28.1,38.2,150,false,false
12.0,48.9,31.5,42.1,200,false,false
13.0,48.3,32.2,42.8,200,false,false
14.0,47.8,33.1,43.5,200,false,false
15.0,45.2,36.8,47.2,250,false,false
16.0,44.7,37.5,47.9,250,false,false
17.0,44.1,38.3,48.6,250,false,false
18.0,41.8,42.1,52.3,300,false,false
19.0,41.2,42.8,53.1,300,false,false
20.0,40.7,43.5,53.8,300,false,false
21.0,38.9,47.2,58.1,350,false,false
22.0,38.3,47.9,58.8,350,false,false
23.0,37.8,48.6,59.5,350,false,false
24.0,35.2,52.3,63.2,400,false,false
25.0,34.7,52.8,63.9,400,false,false
26.0,34.1,53.5,64.6,400,false,false
27.0,31.8,57.2,68.3,450,false,false
28.0,31.2,57.9,69.1,450,false,false
29.0,30.7,58.6,69.8,450,false,false
30.0,28.9,62.3,73.5,500,false,false
31.0,28.3,62.8,74.2,500,false,false
32.0,27.8,63.5,74.9,500,false,false
33.0,25.2,67.2,78.6,550,false,false
34.0,24.7,67.9,79.3,550,false,false
35.0,24.1,68.6,80.1,550,false,false
36.0,21.8,72.3,83.8,600,false,false
37.0,21.2,72.8,84.5,600,false,false
38.0,20.7,73.5,85.2,600,false,false
39.0,18.9,77.2,88.9,650,false,false
40.0,18.3,77.9,89.6,650,false,false
41.0,17.8,78.6,90.3,650,false,false
42.0,15.2,82.3,94.1,700,false,false
43.0,14.7,82.8,94.8,700,false,false
44.0,14.1,83.5,95.5,700,false,false
45.0,11.8,87.2,99.2,750,false,false
46.0,11.2,87.9,99.9,750,false,false
47.0,10.7,88.6,100.0,750,false,false
48.0,8.9,92.3,100.0,800,false,false
49.0,8.3,92.8,100.0,800,false,false
50.0,7.8,93.5,100.0,800,false,false
